IXI_ID,AGE
19,58.66
169,58.77
231,58.99
61,59
212,59.13
312,59.15
29,59.22
156,59.38
319,59.47
622,59.69
259,59.78
417,59.88
479,60.02
546,60.07
393,60.1
197,60.46
495,60.87
260,60.91
182,60.97
266,61.07
277,61.34
442,61.37
328,61.79
359,62.06
459,62.43
404,62.74
239,62.96
284,63.04
50,63.19
453,63.42
199,63.66
486,63.84
296,63.97
577,64.19
164,64.47
552,64.66
503,65.1
535,65.26
114,65.41
382,65.91
494,66.33
484,66.37
467,66.95
364,67.16
537,67.46
326,67.74
493,67.77
641,68.12
249,68.27
72,68.6
443,69.13
465,69.28
257,69.55
463,70.14
456,70.25
551,70.5
252,70.56
521,70.84
646,71.21
482,72.09
416,72.15
497,72.31
447,72.83
216,73.02
420,73.18
327,73.56
433,73.9
384,74.01
172,74.99
158,75.63
498,76.78
