IXI_ID,AGE
425,19.98
202,20.17
80,21.2
153,22.43
39,23.35
65,23.72
292,23.73
275,24.18
154,24.34
111,25.19
51,25.74
69,26.27
96,26.92
256,27.38
42,27.82
436,28.35
567,28.56
609,29
320,29.74
60,30.7
119,32.17
92,33.24
309,33.92
106,36.67
46,37.73
12,38.78
160,39.4
579,41.22
562,42.79
298,43.46
40,44.09
287,44.99
151,45.39
424,46.3
625,47.07
592,48.08
244,49.04
162,50.52
279,51.88
79,52.53
53,53.31
120,53.67
157,54.43
616,55.09
401,55.58
644,56.87
126,57.22
578,57.86
389,58.37
212,59.13
445,60.03
442,61.37
505,62.25
500,63.18
577,64.19
503,65.1
382,65.91
467,66.95
537,67.46
641,68.12
450,68.51
443,69.13
554,70.11
551,70.5
646,71.21
497,72.31
216,73.02
433,73.9
204,74.64
158,75.63
498,76.78
